la	302461
e	177509
di	165711
en	153693
de	141805
esis	140456
esas	100508
yari	76068
segun	47718
dil	45105
o	44021
evante	42191
ol	42085
mezvalora	39741
kilometri	37846
po	35970
a	34669
til	33264
por	31833
urbo	29180
habitanti	25889
habitantaro	25567
km	25506
pluse	25260
havis	25056
ne	24856
qui	24296
provinco	22935
distrikto	22795
kam	22022
ed	21497
vilajo	21054
vivis	21002
ma	20835
revenuo	20267
omna	20108
yaro	20011
min	19370
da	19357
hemanari	18843
kun	18795
qua	18678
ek	18311
mulieri	17591
viri	17421
es	17403
chefurbo	17091
singla	16521
ye	16247
referi	15720
dum	15318
li	14520
personi	14514
l	14053
cirkume	13970
od	13688
lua	13245
komono	13048
sub	12818
familii	12691
evo	12676
grandeso	12626
raso	12591
sud-este	12574
hemanaro	12524
rasi	12519
do	12048
propra	11798
familio	11746
nomi	11472
lektebla	11421
pri	11350
relatanta	11255
rezulto	11254
plene	11094
idala	11018
havas	10930
altra	10884
lando	10675
nord-este	10523
originala	10366
du	10236
per	9868
individuo	9382
distas	9352
maxim	9319
kontre	9238
parto	9154
kom	8799
statistiki	8348
prezidanto	8290
komono-sideyo	7656
homi	7569
il	7551
jacas	7543
sud-weste	7453
ke	7417
inter	7167
sen	7161
plura	7039
urbeto	7006
habitis	6866
na	6832
geografio	6687
vilajala	6679
aquo	6626
nord-weste	6580
irga	6565
kune	6558
demografio	6542
domi	6537
entote	6536
indijeni	6516
domo	6504
komtio	6497
pos	6497
habitesis	6482
pueri	6481
spozulo	6462
muliero	6432
equivalanta	6416
blanki	6389
procento	6385
unika	6360
mariajita	6311
sola	6310
negri	6307
denseso	6306
domo-chefo	6270
ne-familii	6267
aziani	6261
amerikana	6260
latin-amerikani	6248
adolecanti	6212
pacifik-insulani	6121
hispan-amerikani	6120
rezidis	5873
anke	5582
pro	5507
nuntempe	5428
granda	5363
chefministro	5337
nomo	5332
povreso-lineo	5258
un	5235
divenis	5064
usana	5033
regiono	4946
alidirekti	4798
kande	4543
multa	4185
morti	4173
ilu	4124
plu	4094
piktisto	4091
sua	4081
loki	3954
nulo	3827
che	3755
tota	3712
sideyo	3704
lublin	3439
unesma	3362
del	3320
skriptisto	3265
komencis	3185
dal	3183
eventi	3172
ulu	3137
redirect	3105
sole	3086
franca	3054
ad	2997
nobel-laureato	2985
ca	2970
povas	2962
naski	2895
ta	2843
rejulo	2769
kovresas	2737
samatempe	2700
disto	2677
sur	2656
politikisto	2637
nun	2633
importanta	2587
precipua	2586
pose	2577
germana	2497
deskovrita	2494
el	2492
meza	2492
domaro	2485
encirkliganta	2412
divenas	2391
stato	2360
on	2332
an	2311
su	2288
duesma	2274
mezavalora	2246
n	2239
kelka	2211
komencinta	2210
exloko	2198
exemple	2176
historio	2159
to	2153
extera	2128
nur	2113
mondo	2106
c	2070
infinita	2005
pozitiv	1997
seguo	1995
eventis	1969
existas	1967
centro	1945
tamen	1941
vilajal-urbala	1915
ante	1908
chef-urbo	1894
lo	1894
nuna	1879
quan	1876
lu	1834
nomizita	1828
ilua	1821
rusa	1812
linguo	1809
ordinara	1808
ube	1778
loko	1777
us	1768
yarcento	1761
nova	1751
lia	1729
l'urbeto	1728
milito	1619
recevis	1609
usan	1609
proxim	1594
olua	1579
urbi	1578
alta	1574
l'unesma	1565
aktoro	1547
tri	1518
esar	1503
ex-loko	1500
inkluzite	1488
povo	1484
landi	1477
kompozisto	1473
tale	1472
evanta	1465
depos	1463
ligili	1441
britaniana	1437
diversa	1435
uzesas	1430
altri	1418
kantisto	1411
formo	1401
konocata	1399
uzata	1381
estala	1376
quale	1368
podlakia	1366
ofte	1360
distis	1340
komencas	1324
usa	1324
ank	1323
dio	1307
dii	1302
teritorio	1301
produktas	1300
le	1299
fino	1291
anciena	1286
duris	1276
trupi	1268
grupo	1246
imperiestro	1240
mikra	1238
distrikti	1236
align	1223
left	1223
italiana	1219
bielorusia	1199
metri	1197
francia	1193
rivero	1191
al	1187
januaro	1186
morto	1186
quo	1168
ula	1163
l'urbo	1161
chefo	1145
eventas	1135
regioni	1134
frontiero	1126
guvernerio	1125
fondesis	1122
angla	1118
mil	1118
yarmilo	1118
precipue	1108
longa	1103
subkarpati	1096
fizikisto	1088
membri	1083
aktorino	1077
tre	1075
nacionala	1065
exdomaro	1063
milion	1053
nedependo	1052
lingui	1046
muzikisto	1043
lasta	1034
sude	1033
tra	1032
republiko	1029
insulo	1025
kontenas	1015
ganis	1014
administrala	1009
lor	1002
rejio	991
rejo	991
internaciona	988
sistemo	983
surfaco	982
mazovia	978
braziliana	977
ak	971
filiulo	963
julio	962
hispana	958
komenco	958
cirkum	954
tenisistino	945
unesmafoye	944
videz	941
partiso	930
ibe	928
norde	927
politikala	926
mortis	925
armeo	923
membro	901
multe	899
adminime	896
kantistino	896
periodo	881
populo	878
elua	867
preske	866
ja	865
apud	862
decembro	837
ni	835
konsistas	831
sequanta	827
epoko	826
famoza	823
plusa	820
mm	817
se	816
nederlandana	810
poeto	788
malgre	784
sama	778
bona	771
fondita	770
the	769
oktobro	767
kulturo	765
oficala	764
polona	764
ekonomio	762
muziko	754
populoza	753
kemiisto	751
vers	750
datumi	746
vorto	746
jacanta	740
municipo	735
kalendario	734
nedependanta	734
batalio	730
mayo	729
marto	722
persono	722
agosto	721
aprilo	721
nome	719
naskis	718
moderna	717
imperio	710
populara	707
junio	704
super	704
ordinare	703
onu	702
este	701
elektesas	699
verki	699
soldati	697
novembro	692
lokala	690
februaro	688
mem	688
nomar	688
vivo	687
patro	680
quar	677
finis	675
weste	675
stati	673
uzas	670
insuli	668
septembro	661
situesas	660
vinkas	657
litoro	647
rivo	643
ica	640
staciono	638
kreis	637
aparis	633
brazilia	633
filozofo	633
nombro	629
honore	625
cetera	622
komandita	621
germania	615
itere	615
aden	614
europana	614
fluvio	611
numeralo	609
vilaji	609
finas	607
ido	607
parlamento	606
romana	603
historiala	600
okupesis	600
publika	599
oficale	598
hispania	595
establisis	592
nomizesis	590
forestala	588
unionita	588
chefa	583
santa	579
europa	577
politiko	572
guvernis	570
kreskis	570
militisto	569
arivis	568
ekonomiala	568
grupi	567
quankam	567
ministro	566
skopo	566
kompanio	565
vinkis	563
filmifisto	561
apartenas	560
mikrapolonia	560
tempo	560
universitato	559
fondis	556
restas	555
poka	553
parti	552
temperaturo	552
vicina	552
nam	551
ligilo	550
militala	550
klimato	548
mondala	546
medalio	545
lago	544
lore	543
diferanta	542
politikistulo	542
mortas	541
naturala	541
p	541
filiino	540
verko	540
kreesis	538
avan	537
titulo	533
komoni	530
populi	530
spozino	529
atingis	528
existis	528
sive	528
grandpolonia	527
sueda	526
futbalisto	525
generalo	525
listo	524
filmo	523
yen	523
klubo	521
m	518
areo	516
decidis	516
bando	514
atako	511
partoprenis	511
nordo	506
produktis	506
konstruktesis	503
komercala	502
quanto	502
muzikala	500
santakruco	499
skribis	499
yarala	497
westala	496
fine	489
homala	489
monto	488
inkluzas	482
ekonomikisto	480
forta	480
paco	480
ana	479
lora	478
libro	474
separata	474
korto	469
perdis	469
sudo	469
muzeo	466
komerco	465
kreita	465
monato	465
pluvoza	465
finlandana	464
okupis	464
linei	461
portugalana	460
asumis	456
nula	456
yara	456
centrala	454
frua	454
rusia	453
sociala	452
restis	451
studiis	451
bazo	450
kolonio	450
teritorii	450
basa	449
portugal	448
origino	447
stilo	447
italia	446
greka	444
uzesar	444
lansesis	443
religio	443
ligesas	442
uniono	442
evis	441
apartenis	438
inauguresis	437
judikesas	437
serio	436
vorti	436
generala	435
baseno	433
uzesis	433
sezono	431
yarcenti	431
frapas	430
mediko	430
ultre	430
literaturo	427
grekia	426
rapide	426
revolto	424
duimo	423
ankore	422
of	422
polonia	422
punto	422
kariero	421
plua	419
signifikas	419
japonia	418
movado	418
okupas	418
pagino	418
elekti	415
kurta	415
finlando	414
produkturi	414
tero	414
amba	412
duras	412
dana	411
ex-domaro	411
reprezentas	411
objekti	409
podlaska	408
japoniana	405
uzis	403
pakto	401
alonge	398
deklaras	398
formacas	398
lineo	398
sovietiana	398
cheka	397
kin	397
povis	396
rejino	394
sam	394
deklaris	393
olima	392
esquado	391
komence	391
hokeisto	390
foyi	389
urbala	389
interna	388
mortigesis	388
kulturala	387
profesoro	386
navi	385
elektesis	384
papo	383
uzar	383
komplete	382
i	381
relati	380
austriana	379
ora	379
fakte	378
termino	378
facis	377
regno	377
kresko	375
rurala	375
korpo	373
l'objekto	373
tradicionala	373
influo	372
elekto	370
konstruktita	370
ludi	370
speci	370
supra	370
chinia	368
adhike	367
naskinta	367
fonto	366
suedia	366
sika	364
erste	362
libera	362
dop	361
probis	361
krear	360
olimpiala	360
rolo	360
havanta	359
omnayare	359
chiniana	358
medicino	357
rejimo	357
provinci	355
fratulo	353
gregoriala	353
laboris	353
matematikisto	353
premio	353
championo	352
kolonieto	352
laboro	352
monati	350
subisis	350
nederlando	348
juliala	347
libri	346
fondesas	345
kontrolo	345
recevas	345
religiala	345
norda	344
portuo	344
vasta	344
arto	342
projeto	342
restaji	342
jurnalisto	341
nordala	341
organizuro	341
dinastio	338
mexikia	337
suceso	337
unesme	337
ciencisto	336
transporto	336
uzo	336
bone	335
new	335
yuri	335
matro	334
triesma	334
eklezio	333
ipsa	333
arjentinia	332
konocita	332
lego	332
lubelski	332
animali	331
komuna	327
vilajeto	326
ex-vilajo	324
ligas	323
originis	323
sucesoza	323
mezavalore	322
richa	322
sempre	322
skribita	322
varma	322
simila	320
generale	319
konkurso	318
sudala	318
arei	317
astronomo	317
paris	317
produktado	317
silezia	317
edifici	316
navo	315
plaso	315
com	314
adoptis	313
parolata	313
facar	311
forteso	311
germani	311
shakoludisto	311
skolo	310
elementi	308
hodie	308
kaptas	308
developis	307
hike	307
san	306
filmi	305
aferi	304
havar	304
india	304
st	304
fondinto	303
kilometro	303
stando	302
britanian	301
ataki	300
web	300
developo	299
mortigas	299
larja	298
konquestis	297
devas	296
temi	296
varmia-mazuria	296
explorero	295
hungaria	295
influi	295
kontrato	295
posibla	295
varias	294
yuna	294
city	293
pleis	293
venas	293
d	292
mondomilito	292
nedependanteskis	292
plana	292
provizora	292
franci	291
kanadana	291
marala	291
montras	291
opole	289
suisa	289
trovesis	289
edifico	288
kansono	288
helpo	287
rejala	287
agadi	286
parko	286
b	285
deo	285
kuyavia-pomeria	285
monti	285
sis	285
voyajo	285
dextra	284
hungara	284
x	284
atakas	283
kelkafoye	283
kolda	283
homo	282
infrasilezia	282
problemi	282
in	281
iras	281
quin	281
pikturi	280
mongoliana	279
recenta	279
deskovris	278
fiziologio	278
tala	278
kolumbia	277
posible	277
vivas	277
temperaturi	276
afrika	275
bielorusa	275
gradope	274
esus	273
hemo	273
kompleta	273
konstrukto	273
produktita	273
kelk	272
tereni	272
agado	271
konocesis	271
quartero	271
austria	270
central	270
kolonii	270
edc	269
milioni	269
skultisto	269
artisti	268
podlaski	268
sucesis	268
situo	267
individui	266
poke	266
exempli	265
anuncas	264
peru	264
injenioro	262
majoritato	261
paraguay	261
retoloki	261
maro	260
programo	260
subdividuri	260
balde	259
kanada	259
produktar	259
protesti	259
note	258
subdividesas	258
desaparinta	257
ensemblo	257
partisi	257
romani	257
antiqua	256
chefi	256
isbn	256
princo	256
and	255
specala	255
anglia	254
blanka	254
fluvii	254
pekunio	253
mili	252
frontieri	251
obtenis	251
oli	251
org	251
establisesis	250
h	250
l'insulo	249
mustas	249
s	249
studio	249
grava	248
parolas	248
yuro	248
ciencala	247
socio	247
advokato	246
arkitekto	246
louis	246
venis	246
latina	245
uzita	245
konstruktis	244
quala	244
strukturo	244
federala	242
intensa	242
ludis	242
vinko	242
prezidanteso	241
aceptis	239
chambro	238
cienco	238
prezidanti	238
sulo	238
vundita	238
arjentiniana	237
sovietia	237
diminutis	236
dufoye	236
ecepte	236
invadis	236
organizo	236
privata	236
civila	235
efektigis	235
katolika	235
konflikti	235
norvegia	235
profesionala	235
teatro	235
esanta	234
objekto	234
planeto	234
sep	234
entraprezisto	233
olim	233
tribui	233
direte	232
konstituco	232
ponto	232
rapida	232
belga	231
fondas	230
israel	230
konflikto	230
valo	230
piktistino	229
antee	228
kaptis	228
mortigesas	228
nacional	228
parolesas	228
suda	228
estal	227
krizo	227
sinistra	227
komunista	226
peninsulo	226
probable	226
sistemi	226
london	225
teorio	225
kg	224
nomesas	224
religii	224
riveri	224
voyo	223
chili	222
exter	222
gastigas	222
ambe	221
australia	221
artiklo	220
fotografuri	220
hori	220
interne	220
rumania	220
uruguay	220
antea	219
kirko	219
nacioni	219
stradi	219
atakis	218
dania	218
divenar	218
efektigas	218
financala	218
hispani	218
reda	218
adopto	217
ani	217
araba	217
habitas	217
kombati	217
skriptisti	217
sporto	217
kancelero	216
klasika	216
konsistanta	216
nivelo	216
palaco	216
skribar	216
dominaco	215
simpla	215
duko	214
konseque	214
lansis	214
medalii	214
olu	214
donis	213
futbalo	213
konquestas	213
versiono	213
populala	212
revoluciono	212
turisti	212
formi	211
pomeria	211
sklavi	211
studenti	211
direktita	210
nutrivi	210
ulo	210
atingar	209
edukado	209
eniris	209
genero	209
mexikiana	209
personala	209
rusiana	209
tam	209
distanta	208
championeso	207
k	207
maxima	207
militisti	207
notora	207
york	207
dek	206
laboristi	206
orbito	206
devenas	205
enfluanto	205
industriala	205
minuti	205
modelo	205
no	205
suporto	205
vice	205
zono	205
expediciono	204
facas	204
john	204
belgia	203
konstruktar	203
nomesis	203
planti	203
administrado	202
dividita	202
kongreso	202
ideo	201
kredas	201
kristana	201
proxima	201
autoro	200
komtii	200
nune	200
olta	200
verda	200
deskovresis	199
diktatoro	199
federiti	199
homaro	199
kovras	199
manko	199
mortigis	199
nomizis	199
videbla	199
duopla	198
evento	198
forsan	198
komitato	198
reguli	198
signatas	198
trovesas	198
asociuro	197
duktis	197
filii	197
historiisto	197
idisto	197
militestro	197
stimulis	197
tenisistulo	197
vicini	197
centri	196
filio	196
kemiala	196
mohamedana	196
naturo	196
invado	195
konocesas	195
konsilistaro	195
materio	195
augmentis	194
charles	194
formacar	194
formacis	194
libereso	194
mohamedani	194
pakistan	194
relato	194
tipo	194
abandonis	193
ekonomial	193
komediisto	193
ligo	193
rapideso	193
skota	193
westal	193
adoptas	192
fazo	192
judi	192
legi	192
prezidantal	192
sultano	192
aparas	191
avioni	191
enmigranti	191
humida	191
indiana	191
mala	191
panama	191
situita	191
temo	191
indikas	190
kategorio	190
militi	190
trairas	190
trono	190
trovis	190
autonoma	189
choseo	189
invadas	189
revuo	189
vari	189
boxisto	188
kansoni	188
